Puesto,Empresa,Puntuación empresa,Ubicación,Estado postulación,Fecha,Candidatos,URL aviso
Soporte IT Semi Senior,AMERICA VIRTUAL S.A.,,"Retiro, Capital Federal",Postulado,18 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-soporte-it-semi-senior-en-retiro-3B4569839342B81A61373E686DCF3405
Ref. 21160: Soporte Tecnico / Ingles avanzado,ADN - Recursos Humanos,"3,5","Palermo, Capital Federal",Postulado,18 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-21160-soporte-tecnico-ingles-avanzado-palermo-caba-en-palermo-91E38F418F576ED361373E686DCF3405
Ref. 20927 Soporte Técnico IT / Balvanera CABA,,,,CV Visto,19 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-20927-soporte-tecnico-it-balvanera-caba-en-balvanera-F408AA3A7EB51BC161373E686DCF3405
Ref. 20927 Soporte Técnico IT / Balvanera CABA,,,,Postulado,18 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-20927-soporte-tecnico-it-balvanera-caba-en-balvanera-9E526E23CD3CE33E61373E686DCF3405
Field Support IT Soporte Tecnico Informatico SSR / Back UP /Presencial / Horarios rotativos,Yel Solutions,"4,1","Monserrat, Capital Federal",Postulado,18 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-field-support-it-soporte-tecnico-informatico-ssr-back-up-presencial-horarios-rotativos-en-monserrat-888547C1D3E9E1F961373E686DCF3405
Ref. 21160: Soporte Técnico / Palermo CABA / Ingles Avanzado,ADN - Recursos Humanos,"3,5","Palermo, Capital Federal",Proceso finalizado,21 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-21160-soporte-tecnico-palermo-caba-ingles-avanzado-en-palermo-D41E427FD3092A4161373E686DCF3405
Soporte Tecnico OT,Graal Solutions,,"Puerto Madero, Capital Federal",Postulado,16 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-soporte-tecnico-ot-para-planta-industrial-en-caba-zona-puerto-madero-en-puerto-madero-D433A32AC4D42B5661373E686DCF3405
Analista de Soporte IT Junior,Tucci,,"Martínez, Buenos Aires-GBA",Postulado,01-06-2026,,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-soporte-it-junior-en-martinez-EF7A15FE875CBC6761373E686DCF3405#lc=ListOffers-Score4-13
Analista soporte técnico Onsite,Importante empresa del sector,,"Parque Patricios, Capital Federal",Postulado,Hace 2 horas,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-soporte-tecnico-onsite-caba-en-parque-patricios-57EF3C7137C02EBB61373E686DCF3405
Ref. 21270: Soporte Técnico IT / Balvanera CABA,ADN - Recursos Humanos,"3,5","Balvanera, Capital Federal",Postulado,Hace 2 horas,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-21270-soporte-tecnico-it-balvanera-caba-en-balvanera-733152C30E60A5A861373E686DCF3405
Representante de Soporte Técnico,Cat-Technologies,"4,0","San Nicolás, Capital Federal",Postulado,Hace 2 horas,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-representante-de-soporte-tecnico-en-san-nicolas-6CA20DCAD7948D8361373E686DCF3405
Operador telefónico para Soporte Técnico,Cat-Technologies,"4,0","San Nicolás, Capital Federal",Postulado,Hace 2 horas,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-operador-telefonico-para-soporte-tecnico-en-san-nicolas-371E350E03AC827A61373E686DCF3405
